"Input","Target"
" which movies are about cyber-intimidation","	Hackers, The Net"
" what films are about oscar nomination","	Walk the Line, Into the Woods"
" which films are about garbage","	Superbad, Fantastic Four, Garden State, Paranormal Activity, Riddick, In the Line of Fire, Men at Work, The Punisher, Steel"
" which movies are about conversation","	Pulp Fiction, Before Sunrise, Before Midnight, Conversations with Other Women, Steam of Life"
" what movies can be described with computer controls everything","	Eagle Eye"
" which movies can be described by dead","	The Sixth Sense, Pan's Labyrinth, Crank, Phantasm, Phantasm II, All-Star Superman"
" what movies can be described by child prodigy","	The Royal Tenenbaums, August Rush, The Red Violin"
" what movies can be described by rate down","	Inception, Iron Man 2, Groundhog Day, Salt, Contact, Atonement, The Day the Earth Stood Still, Pleasantville, Flatliners, Blindness, Frozen, The Girl Who Kicked the Hornets' Nest, Enter the Void, After Hours, Arizona Dream, Leaves of Grass, Code 46, Erik the Viking"
" which films can be described by amazing photography","	Schindler's List, American History X, 300, City of God, Psycho, Into the Wild, The Last Samurai, Crouching Tiger, Hidden Dragon, Hero, The Abyss, House of Flying Daggers, March of the Penguins, Renaissance, House of Tolerance, Electric Dragon 80.000 V"
" which films are about resurgence","	The Crow, Catwoman, Faust"
" what movies can be described by last man on earth","	I Am Legend, The Omega Man, The Quiet Earth, The Last Man on Earth"
" which movies can be described by author:frank herbert","	Dune"
" which movies are about distasteful","	A Million Ways to Die in the West, The Seasoning House"
" what films are about battle of the sexes","	How to Lose a Guy in 10 Days, His Girl Friday, Roger Dodger"
" what movies can be described by disaster","	Titanic, Independence Day, Armageddon, 2012, The Mist, Apollo 13, The Happening, Airplane!, Twister, The Impossible, Deep Impact, The Perfect Storm, Space Jam, Pompeii, Dante's Peak, Spawn, Into the Storm, The Poseidon Adventure, Summer Wars, Earthquake, Flood, San Francisco, The Summit"
" which films are about bromance","	Sherlock Holmes, Ted, Star Trek Into Darkness, The Interview, I Love You, Man, The Break-Up, Dil Chahta Hai, Crows Zero"
" what movies are about cheesy ending","	Blood Diamond, Face/Off, Knowing, Dogma, The Contender, Vidocq"
" which movies can be described by sports almanac","	Back to the Future Part II"
" what movies can be described with surgery","	Never Let Me Go, The Skin I Live In, Repo Men, The Fall, Frida, In a Better World, Eyes Without a Face, Seconds"
" which films are about albert pyun","	Cyborg, Captain America, The Sword and the Sorcerer, Mean Guns, Alien from L.A., Radioactive Dreams, Down Twisted"
" which movies are about cliff robertson","	Spider-Man, Obsession, Too Late the Hero"
" which films can be described by singing animals","	Alvin and the Chipmunks, ¡Three Amigos!"
" what films can be described by shootout","	No Country for Old Men, Star Trek, Oblivion, Desperado, The International, Dead Man Down, Young Guns, The Westerner"
" which films can be described by massacre","	Indiana Jones and the Kingdom of the Crystal Skull, Munich, Gandhi, United 93, Elephant, The Mission, Curse of the Golden Flower, Bloody Sunday, In Darkness, Polytechnique, Soldier Blue, Zero Day, The Battle of China"
" which movies can be described by fight scenes","	The Matrix, Taken, Cloud Atlas, Scott Pilgrim vs. the World, Fury, Crouching Tiger, Hidden Dragon, The Book of Eli, Blade II, Immortals, The Karate Kid, Shanghai Noon, Mortal Kombat, The One, Enter the Dragon, Solomon Kane, Romeo Must Die, Bloodsport, The Golden Child, Rumble in the Bronx, Bunraku"
" which films are about shopping","	Superbad, Pretty Woman, Sex and the City, Confessions of a Shopaholic, The Clique, Tony Takitani"
" which movies are about edward james olmos","	Blade Runner, Selena, Beverly Hills Chihuahua, Stand and Deliver, 12 Angry Men, American Me, Zoot Suit"
" which movies can be described by r:strong language","	The Usual Suspects, Requiem for a Dream, Charlie Wilson's War, 24 Hour Party People, Primary Colors, Running with Scissors"
" what films can be described by tears","	Finding Nemo, Up, The Kids Are All Right, Bambi"
" which movies can be described by pirates (minor)","	The Princess Bride, Stardust"
" which movies are about loosely based on true events","	Wolf Creek, I'm Not Scared"
" what films are about chazz palminteri","	A Night at the Roxbury, Diabolique, Jade"
" which films can be described by interspecies sex","	Splice"
" which movies can be described by gigan","	Godzilla vs. Megalon, Godzilla vs. Gigan"
" which films can be described by theatrical acting","	The Seventh Seal, The Sunset Limited, Wittgenstein"
" what films can be described by alien","	District 9, Alien, Aliens, Independence Day, Men in Black, Predator, E.T. the Extra-Terrestrial, Signs, The Thing, Pitch Black, I Am Number Four, K-PAX, Close Encounters of the Third Kind, The Abyss, Galaxy Quest, Dreamcatcher, Outlander, Species, PK, Solaris, Cocoon, Enemy Mine, Earth to Echo, Undead, Grabbers, The Brother from Another Planet, 20 Million Miles to Earth, It! The Terror from Beyond Space, 51"
" which films can be described by nashville","	Walk the Line, The Thing Called Love"
" what movies can be described with lobotomy","	Sucker Punch, From Hell, Frances"
" which movies can be described by plot makes no sense","	Avatar, Source Code, The Giver"
" which movies are about rob letterman","	Monsters vs. Aliens, Gulliver's Travels"
" which movies can be described by doctor-patient relationship","	Spellbound, He Loves Me... He Loves Me Not, Frankenstein Meets the Wolf Man, The German Doctor"
" which films are about psychiatrist as character","	Bringing Up Baby, Random Harvest, Sex and Breakfast"
" which films are about real doll","	Lars and the Real Girl"
" what films can be described by joseph campbell's study of mythology influenced","	The Matrix, Braveheart, Raiders of the Lost Ark, The Lion King, Indiana Jones and the Last Crusade, Harry Potter and the Goblet of Fire, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Order of the Phoenix, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Temple of Doom"
" which movies can be described by michael c. hall","	Gamer, Paycheck, Cold in July"
" what films are about paul michael glaser","	The Running Man, Kazaam, The Cutting Edge, The Air Up There"
" which films are about til schweiger","	Inglourious Basterds, Knockin' on Heaven's Door, Rabbit Without Ears, Far Cry, Men in the City"
" which movies are about sad people","	Groundhog Day, Happiness, Mister Lonely"
" what films are about wallace & gromit","	Flushed Away, The Wrong Trousers, A Close Shave, A Grand Day Out, A Matter of Loaf and Death"
" which films are about best movies ever","	The Godfather, American History X, Donnie Darko, Blade Runner, Once Upon a Time in the West, Finding Neverland, Who Framed Roger Rabbit, Primal Fear, The Ice Storm, The Commitments, The Impostors"
" which films are about g","	Finding Nemo, Toy Story 3, Ratatouille, Cars, The Emperor's New Groove, City Lights, Sleeping Beauty, The Princess Diaries, The Princess and the Frog, Fiddler on the Roof, Chitty Chitty Bang Bang, The Black Stallion, Powaqqatsi, Paper Clips"
" what movies are about witness protection programme","	My Blue Heaven, Madea's Witness Protection"
" which movies can be described by jon turteltaub","	The Sorcerer's Apprentice, While You Were Sleeping, Cool Runnings, Phenomenon, Instinct, 3 Ninjas"
" which films can be described by bicycling","	Premium Rush, The Triplets of Belleville, American Flyers"
" what films are about convenience store","	Clerks"
" which films can be described by gary fleder","	Runaway Jury, Kiss the Girls, Don't Say a Word, Impostor, The Express"
" which films are about unexpected ending","	Fight Club, Gone Girl, Now You See Me, First Blood, One Day, Once, Incendies, Passengers, Redbelt, Easy Virtue, The Emperor's Club, Loft"
" what movies can be described by overly complex","	RocknRolla"
" what films are about drummer","	Whiplash, Sound of Noise, Beware of Mr. Baker"
" which films can be described by slang","	Brick"
" what movies can be described by civilization","	The Battle of China"
" which movies are about transvestites","	The Adventures of Priscilla, Queen of the Desert, Kinky Boots"
" which films can be described by implausible","	Inception, The Hunger Games, Taken, The Curious Case of Benjamin Button, Elysium, Training Day, Midnight in Paris, Salt, Battleship, The Adjustment Bureau, Dogville, Red Dawn, The Spanish Prisoner, The Speed of Thought"
" which movies are about hallucinations","	Black Swan, Videodrome, Escape from Tomorrow"
" which movies are about jim caviezel","	Donnie Darko, Escape Plan, The Final Cut, Unknown, Angel Eyes"
" what films are about plot:small british community comes together","	The Full Monty, Saving Grace, The Titfield Thunderbolt"
" what films can be described by colorado","	The Prestige, Cliffhanger, RV, City Slickers, Things to Do in Denver When You're Dead, Imagine That, Support Your Local Sheriff!, Soldier Blue, The Magic of Ordinary Days, Copper Mountain"
" which movies can be described by aids","	Trainspotting, Dallas Buyers Club, Philadelphia, Airplane!, Air Force One, The Constant Gardener, The Hours, I Love You Phillip Morris, Kids, Rent, Gia, The Normal Heart, Killing Zoe, Peter's Friends, And the Band Played On, The Cure, Jeffrey, Longtime Companion, The 24th Day, How to Survive a Plague, It's My Party, Parting Glances, The Witnesses, Yesterday, 3 Needles, Citizen Cohn, Life, Above All, Close to Leo, Fire in the Blood, Tapestries of Hope"
" which films are about fear of commitment","	Four Weddings and a Funeral, Weekend, The Last Kiss"
" what films can be described by author:john steinbeck","	The Grapes of Wrath, Of Mice and Men, East of Eden, Cannery Row"
" which movies can be described by schizophrenic","	Gremlins, Doomsday, Synecdoche, New York"
" what movies can be described by annie potts","	Ghostbusters, Pretty in Pink"
" what movies can be described with aronofsky","	The Wrestler"
" what films can be described by rza","	The Man with the Iron Fists, Coffee and Cigarettes"
" which movies are about matt reeves","	Cloverfield, Dawn of the Planet of the Apes, Let Me In"
" what movies can be described by zhang yimou","	Hero, House of Flying Daggers, The Flowers of War, Curse of the Golden Flower, Raise the Red Lantern, Riding Alone for Thousands of Miles"
" what films are about jamaica","	Cool Runnings, Cocktail, The Mighty Quinn, Life and Debt"
" which films are about lewis black","	Accepted"
" which films can be described by workaholic","	Liar Liar, Shattered Glass, The Secret Life of Words, Uncle Nino"
" which films can be described by bilbao","	800 Bullets"
" what films can be described by stock market","	The Wolf of Wall Street, Pi, Wall Street, Boiler Room"
" which films are about thandie newton","	The Pursuit of Happyness, RocknRolla, The Chronicles of Riddick, Gridlock'd"
" which movies can be described by anti-conformity","	The Lego Movie"
" which films are about auckland","	Once Were Warriors"
" what movies can be described by timothy hutton","	Ordinary People, The Killing Room"
" which films can be described by using real names","	This Is the End"
" what movies can be described by sitcom","	Horrible Bosses, The Flintstones"
" which films are about unnecessary villain","	Frozen"
" which films can be described by talia shire","	Rocky, Rocky II, Rocky IV, Rocky III, Rocky V"
" what films are about may 1","	Fantasia, Chungking Express, Dracula"
" which movies are about ralph bakshi","	The Lord of the Rings, Cool World, American Pop"
" which movies can be described by black and white characters interact with colour world","	Pleasantville, The Icicle Thief"
" what movies can be described by crying","	A.I. Artificial Intelligence, I Am Sam, The Disappearance of Alice Creed, Away from Her, Hiding Out"
" what films can be described by jared leto","	Fight Club, Requiem for a Dream, American Psycho, Dallas Buyers Club, Lord of War, Panic Room, Alexander, The Thin Red Line, Mr. Nobody, Girl, Interrupted, Lonely Hearts"
" what movies are about rufus sewell","	The Illusionist, The Holiday, Dark City, The Mask of Zorro, Amazing Grace, Bless the Child"
" which movies can be described by design","	Jurassic Park, Aliens, Batman, Gattaca, Batman Forever, Hellraiser, Pee-wee's Big Adventure, The Roommate, The Adventures of Pluto Nash, Vincent, The Man Next Door"
" what films are about teen angst","	American Beauty, Mallrats, Sixteen Candles, The Inbetweeners Movie, The Last Song, Heathers, Pretty in Pink, Fish Tank, The Next Karate Kid, White Bird in a Blizzard, Reckless"
" what films can be described by aki kaurismäki","	The Man Without a Past, Le Havre, The Match Factory Girl, Leningrad Cowboys Go America, Drifting Clouds, Ariel, I Hired a Contract Killer, La Vie de Bohème, Shadows in Paradise, Calamari Union, Crime and Punishment, Leningrad Cowboys Meet Moses"
" what movies are about roller derby","	Whip It"
" what movies can be described by race relations","	To Kill a Mockingbird, Monster's Ball, Devil in a Blue Dress"
" which movies are about exciting","	Pulp Fiction, The Godfather, Django Unchained, Raiders of the Lost Ark, Alien, Transformers, Rise of the Planet of the Apes, The Italian Job, 2012, The Island, Speed, The Mummy Returns, The Maze Runner, Enemy of the State, Valkyrie, The Lone Ranger, Twister, The Girl Who Played with Fire, Cop Land, Race to Witch Mountain, Millions, Trapped, The Man Who Copied"
" what movies are about sports competition","	White Men Can't Jump, Over the Top, The Natural, Hoosiers, Men with Brooms"
" what movies can be described with episodic","	Pulp Fiction, Inglourious Basterds, Sin City, The Curious Case of Benjamin Button, Boyhood, Movie 43, Paris, je t'aime, Disconnect, Coffee and Cigarettes, Night on Earth, Dreams, The Ten, You, the Living, All-Star Superman, Elektra Luxx, Women in Trouble, Eros, Men in the City"
" what films are about based on comic","	Batman Begins, Sin City, 300, Spider-Man 2, Oldboy, Over the Hedge, The Rocketeer"
" what films can be described by amoral","	The Wolf of Wall Street"
" which films are about self-esteem","	Groundhog Day, Yes Man, Happiness, Muriel's Wedding, Elling, Now, Voyager, Fatso"
" which films can be described by somber","	The Godfather, Schindler's List, The Sixth Sense, The Pianist, Blade Runner, Heat, Children of Men, Unforgiven, Unbreakable, Hannibal, Chinatown, Dark City, The Elephant Man, Grave of the Fireflies, Never Let Me Go, The Seventh Seal, Barry Lyndon, Wings of Desire, Bullitt, Days of Heaven, Last Tango in Paris, In the Bedroom, Don't Look Now, Spider, Gallipoli, Andrei Rublev, The Changeling, Raise the Red Lantern, Dreams, The Virgin Spring, The Conformist, Eyes Without a Face, A Woman Under the Influence, Hour of the Wolf, L'Eclisse, The Turin Horse, Forbidden Games, Ashes and Diamonds, Port of Shadows, They Were Expendable, Bad Timing, King Rat, Eureka, Timbuktu, The Myth of Fingerprints"
" which movies are about lacks tension","	Iron Man 2, Invictus, Ponyo"
" which movies are about bg","	16 Blocks, 40 Days and 40 Nights, 2010, 1941, 100 Girls"
" what movies can be described by powerful","	The Silence of the Lambs, Requiem for a Dream, A Clockwork Orange, Pan's Labyrinth, Rise of the Planet of the Apes, Mystic River, The Help, Brokeback Mountain, Magnolia, Les Misérables, Das Boot, Blue Valentine, Mud, Ran, Elephant, Fish Tank, Fanny and Alexander, Calvary, Soldier of Orange, Pelle the Conqueror, Greed, A Simple Life, Slam"
" what movies are about menahem golan","	Bloodsport, Cobra, Over the Top, Masters of the Universe, Cyborg, The Delta Force, Missing in Action, Death Wish II, American Ninja, Death Wish 3, King Solomon's Mines, Allan Quatermain and the Lost City of Gold, Invasion U.S.A., Alien from L.A., Enter the Ninja, Messenger of Death, Over the Brooklyn Bridge, The Apple"
" what movies can be described by chemistry between actors","	50 First Dates, Friends with Benefits, The Proposal, The Holiday, The Tourist, Out of Sight, While You Were Sleeping, Take This Waltz, The Thin Man, Returner, The Whole Wide World"
" what movies are about charles vidor","	Gilda, Cover Girl, Love Me or Leave Me, Hans Christian Andersen, The Joker Is Wild, Ladies in Retirement"
" which films can be described by les mayfield","	Blue Streak, Flubber, Encino Man, The Man"
" what films are about bahamas","	Casino Royale, The Other Woman, Into the Blue, Open Water"
" what films can be described by self-aware","	2 Jump Street, The Cabin in the Woods, Warm Bodies, Scream 2, Scream 3, Sharknado"
" what movies are about vincente minnelli","	An American in Paris, Meet Me in St. Louis, Gigi, The Bad and the Beautiful, Father of the Bride, The Band Wagon, Lust for Life, Some Came Running, The Pirate, The Long, Long Trailer, The Clock, Bells Are Ringing, Home from the Hill, Cabin in the Sky, Madame Bovary, Tea and Sympathy"
" which films are about heartbreaking","	American History X, Eternal Sunshine of the Spotless Mind, Up, District 9, Dead Poets Society, Brokeback Mountain, Hugo, Atonement, The Reader, Blue Jasmine, The Time Traveler's Wife, The Fall, The Painted Veil, Anna Karenina, House of Sand and Fog, My Girl, The Pledge, The Broken Circle Breakdown, Millions, The Son's Room, Millennium Actress, Tekkonkinkreet, The Naked Civil Servant"
" what films can be described by jafar panahi","	The Circle, The White Balloon, Crimson Gold, This Is Not a Film"
" what movies can be described with jack kinney","	The Adventures of Ichabod and Mr. Toad, The Reluctant Dragon"
" what movies can be described with seclusion","	Dogtooth, The Silence"
" what films can be described by cultural customs and traditions","	Apocalypto, A Bug's Life, The Wedding Banquet, The Cuckoo, The White Balloon"
" what films can be described by ozarks","	Winter's Bone"
" what films are about mathematics","	Good Will Hunting, A Beautiful Mind, The Butterfly Effect, The Imitation Game, Contact, 21, Cube, Pi, Agora, Proof, The Oxford Murders, Enigma, Stand and Deliver, Antonia's Line, Codebreaker, Travelling Salesman"
" what movies can be described by crime sprees","	Badlands, Weekend"
" which films are about imhotep","	The Mummy"
" which films can be described by comedic horror","	Warm Bodies, Tremors"
" which movies can be described by unjustified invasion","	Green Zone"
" which films are about dystopian future","	Cloud Atlas, The Giver, Eden Log"
" what movies can be described with bruno kirby","	Donnie Brasco, When Harry Met Sally..., Good Morning, Vietnam, The Basketball Diaries, City Slickers"
" what films are about beautiful woman","	The Wolf of Wall Street, Silver Linings Playbook, The Others, Vertigo, Mulholland Drive, Some Like It Hot, Breakfast at Tiffany's, Clueless, The Rum Diary, Catwoman, Rebecca, Bonnie and Clyde, Headhunters, Volver, Beginners, Malèna, Black Book, Open Your Eyes, Paris, Texas, Of Mice and Men, Bandidas, The Fearless Vampire Killers, Mildred Pierce, Room in Rome"
" which movies can be described by secret","	Friends with Kids, The Secret Garden, The Numbers Station"
" what films are about mackenzie foy","	Interstellar"
" which movies can be described by old classic","	Nosferatu, La Strada"
" which films are about super 1.85 blow-up","	The Lion King, Spaceballs"
" what movies are about anime cliches","	Sucker Punch, Summer Wars, Space Battleship Yamato"
" which movies are about hitman","	Pulp Fiction, No Country for Old Men, Looper, In Bruges, Lucky Number Slevin, Unforgiven, John Wick, Smokin' Aces, The Mechanic, Killing Them Softly, The Jackal, The Iceman, The Matador, Bullet to the Head, Weekend at Bernie's, Le Samouraï, The Big Hit, Kill List, Things to Do in Denver When You're Dead, Outland, War, Inc., Red Rock West, Ripley's Game, Point Blank, Returner, Panic, Exiled, Vengeance, Dead Fish"
" which films are about very bad","	Drive Angry, Hoodwinked!"
" which movies are about short film","	Paperman, Cashback, Harvie Krumpet, BURN-E, Six Shooter, Captain EO, Emmet Otter's Jug-Band Christmas, Some Folks Call It a Sling Blade, The Christmas Toy, Pull My Daisy, Beyond All Boundaries"
" which films can be described by chow yun-fat","	Crouching Tiger, Hidden Dragon, Hard Boiled, Rich and Famous"
" which movies can be described by too artsy","	Jarhead, The Tree of Life, You, the Living"
" what movies are about errol morris","	The Thin Blue Line, A Brief History of Time"
" which movies can be described by makes you think","	Inception, The Matrix, Forrest Gump, Interstellar, The Reader, Fahrenheit 9/11, The Jacket, Let's Make Money"
" what films can be described by tom felton","	Rise of the Planet of the Apes, Harry Potter and the Half-Blood Prince"
" what movies can be described by rodeo","	Brokeback Mountain, Flicka, 8 Seconds"
" what films are about aidan gillen","	A.I. Artificial Intelligence, Shanghai Knights, Some Mother's Son, Buddy Boy"
" what movies can be described with urbane","	Lost in Translation, Rear Window, Being John Malkovich, North by Northwest, The Graduate, The Royal Tenenbaums, Before Sunrise, Breakfast at Tiffany's, Manhattan, Tootsie, Gosford Park, The Hudsucker Proxy, Charade, La Dolce Vita, Bringing Up Baby, The Player, Chungking Express, Last Tango in Paris, Roger Dodger, Fallen Angels, Elevator to the Gallows, Tampopo, The Heiress, Metropolitan, Indiscreet, Darling, Jonah Who Will Be 25 in the Year 2000"
" what movies can be described with x-men","	X-Men, The Wolverine"
" what movies can be described by chris o'donnell","	Scent of a Woman, Circle of Friends, In Love and War"
" which movies can be described by ice skating","	Blades of Glory, The Bishop's Wife"
" which movies are about amazon jungle","	Indiana Jones and the Kingdom of the Crystal Skull"
" which movies can be described by no sense ending","	Donnie Darko, The Vow, Berberian Sound Studio"
" what movies are about indiana","	Indiana Jones and the Last Crusade, Independence Day, Indiana Jones and the Temple of Doom, Pineapple Express, Kinsey, Hoosiers, Breaking Away, American Teen"
" what movies can be described by taylor swift","	Valentine's Day, The Lorax, The Giver"
" which movies can be described by chris o'dowd","	Bridesmaids, St. Vincent, Friends with Kids, Calvary, Frequently Asked Questions About Time Travel"
" which films can be described by beyoncÃƒÂ© knowles","	Austin Powers in Goldmember, Dreamgirls"
" which films are about fake memories","	The Matrix, The Truman Show, Dark City, Jacob's Ladder, Paprika"
" which films can be described by commitment","	Up in the Air, The Immature"
" what movies can be described with afi100","	The Godfather, Schindler's List, Casablanca, Citizen Kane, The Wizard of Oz, The Graduate, Gone with the Wind, Lawrence of Arabia, Singin' in the Rain, On the Waterfront"
" which movies are about nr","	The Man from Earth, The Battle of Algiers, C.R.A.Z.Y., Away from Her, Adam's Rib, Point Blank, The Five Obstructions, Control Room, Lost Embrace, Regret to Inform"
" what movies can be described by gem","	Hard Eight, A Late Quartet"
" which films are about s","	A Short Film About Love"
" what movies are about actual footage","	Man on Wire"
" what films can be described by kat dennings","	Thor, The House Bunny, Charlie Bartlett, Defendor, Daydream Nation, The Answer Man"
" which movies are about loner","	Heat, Being There, Transamerica, Central Station, Jeremiah Johnson, Will Penny"
" which films can be described by washed up","	The Wrestler, Donnie Brasco, Cinderella Man, Mean Machine, Killer's Kiss, Don't Come Knocking, Garage Days, Girls Will Be Girls"
" what movies are about rocket","	October Sky, A Grand Day Out"
" which films can be described by andrew klavan","	Don't Say a Word, True Crime, A Shock to the System"
" what movies are about buy","	Forrest Gump, Titanic, Sin City, Toy Story, Jurassic Park, Spider-Man, Catch Me If You Can, Blade Runner, Shrek, Jaws, Spider-Man 2, Toy Story 2, The Butterfly Effect, The Others, Unbreakable, The Passion of the Christ, Finding Neverland, Daredevil, Before Sunrise, Before Sunset, Ghost, The Iron Giant, Robots, What Dreams May Come, Dead Man Walking, THX 1138, Birth, The Day of the Jackal, Somewhere in Time, Pete's Dragon, The Dreamlife of Angels"
" which films are about ernest b. schoedsack","	King Kong, The Most Dangerous Game, Mighty Joe Young"
" what movies are about horror comedy","	The Cabin in the Woods, Ghostbusters, Army of Darkness, An American Werewolf in London, Dead Snow, The Invisible Man, The Texas Chainsaw Massacre 2, Housebound, Night of the Creeps, 2-Headed Shark Attack, My Boyfriend's Back, Body Parts"
" which films can be described by mansion","	The Others, Eyes Wide Shut, Rebecca, The Secret Garden, The Turn of the Screw"
" which films are about 9/1 reference","	Non-Stop"
" what movies can be described by mexico city","	Frida, Rudo y Cursi, Battle in Heaven"
" what movies can be described with really romantic","	Before Sunrise"
" which movies can be described by arktis","	The Thing, 30 Days of Night, The Thaw"
" which movies are about mask","	The Dark Knight, V for Vendetta, Iron Man, Fantastic Four, Eyes Wide Shut, Vanilla Sky, The Man in the Iron Mask, The Orphanage, The Strangers, The Fall, Catwoman, Open Your Eyes, Session 9, The Last Legion, The Unknown Woman"
" what films are about 12th century","	Kingdom of Heaven, The Adventures of Robin Hood, Robin Hood"
" what films can be described by coach","	Million Dollar Baby, Glory Road, Facing the Giants"
" what movies can be described by slim pickens","	Blazing Saddles"
" which films are about scientist","	Avatar, Transformers, Rise of the Planet of the Apes, The Incredible Hulk, Swamp Thing, Hunger, Creator"
" what movies can be described by albino","	Powder, Foul Play"
" what movies are about orson scott card","	Ender's Game"
" which films are about unlikely friendships","	Toy Story, Gran Torino, Star Trek, Stand by Me, I Love You, Man, When Harry Met Sally..., About a Boy, Rushmore, Midnight Cowboy, Monster House, The Fox and the Hound, The Station Agent, Fried Green Tomatoes, American Splendor, Central Station, The Big Chill, Money Talks, Kikujiro, Elling, Boys on the Side, Monsieur Ibrahim, Kitchen Stories, Amateur, Rosenstrasse"
" which movies can be described by setting:tv network","	Network, Morning Glory, UHF"
" what movies are about nuanced","	Prisoners, The Spectacular Now"
" what movies are about 6.2-filmaffinity","	World War Z, I, Robot, Live Free or Die Hard"
" which movies can be described by gipsy","	Thinner"
" which movies can be described by indian motorcycle","	The World's Fastest Indian"
" what movies are about landscape","	No Country for Old Men, Into the Wild, Her, Conan the Barbarian, The American, The Painted Veil, The Proposition, Curse of the Golden Flower, Lovers of the Arctic Circle, The Bear, Powaqqatsi, The German Doctor"
" what movies can be described with movie reference jokes","	Due Date, Fanboys"
" which movies can be described by michael winner","	Death Wish, Death Wish II, The Mechanic, Chato's Land, Lawman, I'll Never Forget What's'isname"
" which movies are about bland hero","	Godzilla, I Am Number Four"
" what films can be described by i would rather suck exhaust than watch this pos again.","	Liar Liar"
" which movies can be described by alien quadrilogy","	Alien, Aliens"
" which movies can be described by hepburn and tracy","	Guess Who's Coming to Dinner, Adam's Rib, Woman of the Year, Desk Set, Pat and Mike"
" what films can be described by hypertextual","	Pulp Fiction, Memento, Groundhog Day, Run Lola Run, Sliding Doors, Dead Men Don't Wear Plaid, The Pillow Book"
" which movies can be described by jonathan glazer","	Under the Skin, Sexy Beast, Birth"
" which movies are about bounty hunter(s)","	Django Unchained, No Country for Old Men, The Good, the Bad and the Ugly, Unforgiven, The Chronicles of Riddick, For a Few Dollars More, Riddick, The Bounty Hunter, The Rundown, Jonah Hex, Barb Wire, Bounty Killer, Trancers"
" which movies can be described by rosamund pike","	Gone Girl, Jack Reacher, The World's End, Surrogates, Fracture, An Education, Doom, Johnny English Reborn"
" which films are about good music","	Pulp Fiction, Forrest Gump, Now You See Me, Whiplash, Lawrence of Arabia, Run Lola Run, Grease, Ben-Hur, The Sound of Music, Dracula, Ray, Rashomon, City of Angels, Once, Deliverance, Phenomenon, Doomsday, The Piano, Doctor Zhivago, The Last Temptation of Christ, Chungking Express, Red River, Beyond the Valley of the Dolls, The Ballad of Cable Hogue, Greenfingers, Janie Jones, Darling Lili"
" which films are about dead nazis","	Inglourious Basterds"
" which movies can be described by possession","	The Exorcist, The Conjuring, Paranormal Activity, The Evil Dead, Army of Darkness, Carrie, Evil Dead, Evil Dead II, The Exorcism of Emily Rose, The Amityville Horror, The Rite, The Babadook, Deliver Us from Evil, Howard the Duck, House, Night of the Demons, Lovely Molly, Requiem, 976-EVIL, The Manitou, Alive, Aks, The Turn of the Screw"
" what films are about lee daniels","	Precious"
" which films can be described by warren beatty","	Bonnie and Clyde, Dick Tracy, Empire Records, Bulworth, Reds, Heaven Can Wait, The Parallax View, Shampoo"
" what films can be described by xenophobia","	300, District 9, Children of Men, Edward Scissorhands"
" what movies can be described with keenen ivory wayans","	Scary Movie, Scary Movie 2, White Chicks"
" what movies can be described with j netflix","	Inception, Shutter Island, Skyfall, Sherlock Holmes, The King's Speech, Casino Royale, The Grand Budapest Hotel, Despicable Me, Her, True Grit, Zero Dark Thirty, The Artist, Get Smart, The Hunt, The Sorcerer's Apprentice, Lars and the Real Girl, 9, Rashomon, The Princess and the Frog, Be Kind Rewind, The Last Emperor, Sunshine Cleaning, The Duchess, Brotherhood of the Wolf, Dorian Gray, Searching for Sugar Man, The Remains of the Day, The Tale of Despereaux, Bananas, And Now for Something Completely Different, Bright Star, The Edge of Love, Elevator to the Gallows, Safety Last!, Burnt by the Sun, Amelia, Brideshead Revisited, Persuasion, Ball of Fire, Wings, Father Goose, Antonia's Line, The Nun's Story, The Shop on Main Street, The Scarlet Empress, The Man Who Laughs, Moll Flanders, That Hamilton Woman, The Docks of New York, Inside Daisy Clover"
" which movies are about very long","	The Curious Case of Benjamin Button, The Tree of Life, Papillon, Stalker, The Inglorious Bastards"
" what films can be described by pierce brosnan","	GoldenEye, Mrs. Doubtfire, Mars Attacks!, Die Another Day, The World Is Not Enough, Tomorrow Never Dies, Mamma Mia!, The Ghost Writer, Remember Me, The Thomas Crown Affair, Dante's Peak, The Matador, After the Sunset, The November Man, The Tailor of Panama, Laws of Attraction, I Don't Know How She Does It, Married Life"
" what films are about dolphins","	The Hitchhiker's Guide to the Galaxy, The Cove, The Big Blue, The Chumscrubber, Conquest"
" which films are about malcolm mcdowell","	A Clockwork Orange, Bolt, Halloween, I Spy, Halloween II, Tank Girl, Blue Thunder, Time After Time, Milk Money"
" what movies can be described by animal cruelty","	Apocalypse Now, Oldboy, Cannibal Holocaust, The Holy Mountain, Temple Grandin, Earthlings, Red, The Adventures of Milo and Otis, The Food of the Gods"
" which movies are about shirley jones","	The Music Man, Oklahoma!"
" what movies can be described with videogame","	Doom, Mortal Kombat, Super Mario Bros., House of the Dead, BloodRayne"
" what films can be described by emily blunt","	Looper, Edge of Tomorrow, The Devil Wears Prada, The Adjustment Bureau, The Wolfman, Dan in Real Life, The Five-Year Engagement, Into the Woods, Sunshine Cleaning, Salmon Fishing in the Yemen, The Young Victoria, Wild Target, The Jane Austen Book Club, My Summer of Love"
